t,vout,code
10818797200.0,0.0,0.0
10822765300.0,0.0005000500050005,0.0
10826746100.0,0.001000100010001,0.0
10830739800.0,0.0015001500150015,0.0
10834759300.0,0.002000200020002,0.0
10838741300.0,0.0025002500250025004,0.0
10842753500.0,0.003000300030003,0.0
10846747700.0,0.0035003500350035003,0.0
10850743200.0,0.004000400040004,0.0
10854738300.0,0.004500450045004501,0.0
10858737900.0,0.005000500050005001,0.0
10862763100.0,0.005500550055005501,1.0
10866741500.0,0.006000600060006,0.0
10870737400.0,0.0065006500650065,1.0
10874740100.0,0.0070007000700070005,1.0
10878746100.0,0.007500750075007501,1.0
10882757800.0,0.008000800080008,1.0
10886742000.0,0.008500850085008501,1.0
10890740900.0,0.009000900090009001,1.0
10894754200.0,0.009500950095009501,1.0
10898742300.0,0.010001000100010001,1.0
10902741500.0,0.010501050105010502,1.0
10906744000.0,0.011001100110011002,1.0
10910763100.0,0.011501150115011502,2.0
10914743400.0,0.012001200120012,2.0
10918747400.0,0.0125012501250125,2.0
10922747900.0,0.013001300130013,2.0
10926757300.0,0.013501350135013501,2.0
10930748700.0,0.014001400140014001,2.0
10934751000.0,0.014501450145014501,2.0
10938765500.0,0.015001500150015001,2.0
10942758100.0,0.015501550155015502,2.0
10946760000.0,0.016001600160016,2.0
10950748400.0,0.0165016501650165,3.0
10954754300.0,0.017001700170017002,3.0
10958758500.0,0.0175017501750175,3.0
10962757500.0,0.018001800180018002,3.0
10966754600.0,0.0185018501850185,3.0
10970788600.0,0.019001900190019003,3.0
10974755200.0,0.0195019501950195,3.0
10978755200.0,0.020002000200020003,3.0
10982754800.0,0.0205020502050205,4.0
10986767100.0,0.021002100210021003,4.0
10990757100.0,0.0215021502150215,4.0
10994769700.0,0.022002200220022004,4.0
10998753900.0,0.022502250225022502,4.0
11002768300.0,0.023002300230023004,4.0
11006757900.0,0.023502350235023502,4.0
11010767500.0,0.024002400240024,4.0
11014756500.0,0.024502450245024503,4.0
11018767900.0,0.025002500250025,5.0
11022756200.0,0.025502550255025503,5.0
11026773500.0,0.026002600260026,5.0
11030756200.0,0.026502650265026503,5.0
11034771200.0,0.027002700270027002,5.0
11038758300.0,0.027502750275027504,6.0
11042758300.0,0.028002800280028002,5.0
11046762800.0,0.028502850285028504,5.0
11050779900.0,0.029002900290029002,5.0
11054761800.0,0.029502950295029504,5.0
11058762900.0,0.030003000300030003,6.0
11062766300.0,0.030503050305030505,5.0
11066764500.0,0.031003100310031003,6.0
11070780500.0,0.0315031503150315,6.0
11074762700.0,0.032003200320032,6.0
11078766100.0,0.032503250325032505,6.0
11082786300.0,0.033003300330033,7.0
11086766000.0,0.0335033503350335,6.0
11090764000.0,0.034003400340034004,6.0
11094784000.0,0.034503450345034506,6.0
11098775100.0,0.035003500350035,7.0
11102768500.0,0.0355035503550355,7.0
11106768500.0,0.036003600360036005,7.0
11110779100.0,0.03650365036503651,7.0
11114769500.0,0.037003700370037,7.0
11118766800.0,0.0375037503750375,7.0
11122769400.0,0.038003800380038005,7.0
11126784900.0,0.03850385038503851,7.0
11130771900.0,0.039003900390039,8.0
11134768700.0,0.039503950395039504,8.0
11138769300.0,0.040004000400040006,8.0
11142769100.0,0.0405040504050405,8.0
11146773100.0,0.041004100410041,8.0
11150770000.0,0.041504150415041505,8.0
11154771100.0,0.04200420042004201,8.0
11158785400.0,0.0425042504250425,8.0
11162777000.0,0.043004300430043,9.0
11166775000.0,0.043504350435043505,9.0
11170773100.0,0.04400440044004401,9.0
11174788300.0,0.0445044504450445,9.0
11178777200.0,0.045004500450045004,9.0
11182775500.0,0.045504550455045506,9.0
11186774300.0,0.04600460046004601,9.0
11190785600.0,0.0465046504650465,9.0
11194791600.0,0.047004700470047005,9.0
11198775700.0,0.04750475047504751,9.0
11202790300.0,0.048004800480048,10.0
11206792600.0,0.048504850485048503,10.0
11210799000.0,0.049004900490049005,10.0
11214788500.0,0.04950495049504951,10.0
11218788900.0,0.05000500050005,10.0
11222813700.0,0.050505050505050504,10.0
11226833000.0,0.051005100510051006,10.0
11230791500.0,0.05150515051505151,11.0
11234790500.0,0.052005200520052,10.0
11238829900.0,0.052505250525052505,11.0
11242849800.0,0.05300530053005301,11.0
11246808500.0,0.05350535053505351,11.0
11250791800.0,0.054005400540054004,11.0
11254795800.0,0.054505450545054505,11.0
11258792500.0,0.05500550055005501,11.0
11262798300.0,0.05550555055505551,12.0
11266793600.0,0.056005600560056004,11.0
11270812500.0,0.056505650565056506,11.0
11274797900.0,0.05700570057005701,12.0
11278800300.0,0.0575057505750575,12.0
11282796900.0,0.058005800580058005,12.0
11286810800.0,0.05850585058505851,12.0
11290797300.0,0.05900590059005901,12.0
11294812600.0,0.059505950595059504,12.0
11298813600.0,0.060006000600060005,12.0
11302800300.0,0.06050605060506051,13.0
11306799400.0,0.06100610061006101,13.0
11310809700.0,0.061506150615061504,13.0
11314813100.0,0.062006200620062006,13.0
11318800900.0,0.0625062506250625,13.0
11322802400.0,0.063006300630063,13.0
11326811100.0,0.0635063506350635,13.0
11330817700.0,0.064006400640064,13.0
11334806500.0,0.06450645064506451,13.0
11338803800.0,0.06500650065006501,14.0
11342835300.0,0.06550655065506551,14.0
11346813800.0,0.066006600660066,14.0
11350819600.0,0.0665066506650665,14.0
11354804500.0,0.067006700670067,14.0
11358804200.0,0.0675067506750675,14.0
11362827600.0,0.06800680068006801,14.0
11366805800.0,0.06850685068506851,14.0
11370819900.0,0.06900690069006901,14.0
11374807000.0,0.06950695069506951,14.0
11378810800.0,0.07000700070007,15.0
